review,label
"The battery lasted two days and then stopped charging completely.",0
"Absolutely love this product, it works exactly as described.",1
"Terrible quality, the fabric tore the first time I wore it.",0
"Fast delivery and the packaging was excellent.",1
"Waste of money, I want a refund.",0
"Great value for the price, I would buy it again.",1
"The screen cracked after one small drop, very disappointing.",0
"Customer service was friendly and fixed my issue quickly.",1
"It arrived broken and the seller ignored my messages.",0
"Comfortable, well made, and looks even better in person.",1
"The sound quality is awful and the volume is far too low.",0
"Exceeded my expectations, highly recommended.",1
"Stopped working after a week, do not buy this.",0
"Easy to set up and the instructions were clear.",1
"Overpriced for what you get and the finish feels cheap.",0
"Best purchase I have made this year.",1
"The food was cold and the service was slow.",0
"Delicious meal and a lovely atmosphere.",1
"Not good at all, I regret this order.",0
"Works perfectly, exactly what I needed.",1
